Category,Title,Artist,Lyrics
nepali,Tihar Song,Axata,"2 Contributors
Tihar Song Lyrics
[Intro: Nawaj Ansari]
Ooh, happy Tihar to everyone
And this song goes out for you people
And let me pass thing to AXATA

[Pre-Chorus: AXATA & Nawaj Ansari]
झिलिमिली रातमा साथीभाइ साथमा रमाइलो मनाउदै
लड्दै र पड्दै आएका हामी देउसिरे भट्याउदै (One more time)
झिलिमिली रातमा दिदीबहिनी साथमा कम्मर हल्लाउदै (Well)
आएका हामी देउसी है खेल्न रमाइलो मनाउदै
(One, two, three, let go)

[Chorus: AXATA]
आहै, भन मेरा भाइ हो, ""देउसुरे""
आहै, राम्ररी भन, ""देउसुरे""
आहै, स्वर मिलाई कन,""देउसुरे""
आहै, भन न भन, ""देउसुरे""
आहै, भन मेरा भाइ हो, ""देउसुरे""
आहै, राम्ररी भन, ""देउसुरे""
आहै, स्वर मिलाई कन, ""देउसुरे""
आहै, भन न भन, ""देउसुरे""

[Verse: Nawaj Ansari]
I see them red, green, yellow light big times
Bright nights, firecrackers go ""kaboom""
We celebratin' in a way (A way)
The children knockin' on the door
Them देउसी भैलो crazy rhymes (I know)
Mother Laxmi—I love you (Haha)
I still remember we made instruments with Coca-Cola caps
A small bag for the money then the acapella starts
House owner with a plate, our eyes on the money (Remember?)
We be sendin' blessings and that was so funny
Hey, hey, wait, wait, wait
Lemme do this thing in my own style
Through all these slippery mud, there was difficulty in walkin'
But we just managed to come to you walkin' and fallin'
Fallin' and walkin', we're not exaggeratin'
Your house is bigger than सिंह दरबार
Your garden is bigger than टुडिखेल (Hey)
We like the झिलिमिली of them lights
They look very pretty
Uncle-auntie give us the money, quickly
'Cause we are very busy, we're goin' to so many places (Places)
Countin' on so many money (Money)
Givin' you so many blessings (Blessings)
Can we get some सेल-रोटी? Ayy"
romanized,Chirag Khadka - Stoner Life,Genius Romanizations,"1 Contributor
Chirag Khadka - Stoner Life Lyrics
[Verse 1]
Bihana Dekhi Happa
Kaam Dham Thappa
Bholey baba bhandai, Tani halchu ek puffa
Life purai rougha, Gara deep guffa
Ek leh pugeyna vaney aarko ek thappa
K garne life ma, Jaile sochi rakha
Chali ra cha Jindagi maa, Gahiro BadLuckaa
Ekdin tah saba kura, Affai mili halla takka
Teytin jhelko lagi bhanchu, I dont give a Fuckaa

[Chorus]
Stoner Life
YO hamro stoner life
Stoner Life
YO hamro stoner life
Stoner Life
YO hamro stoner life

[Verse 2]
Khusi Pauna anek thari, Bhakal pani gariyo
Jhar sing pauwa jhuley dadha,Gagal Pheri chadiyo
Phool ko phuck tipi feyri,Sipima nih bhariyo
Jaile hami tripi Kath-mandu ko Hippi pariyo
Herdai basa himal pahad, Suna awaj chari ko
Anawasek soch haru nikaldeu maana bhaari ko
Sochi rachau life lai balance, garney kasari ho
Tenson nali kina jaile, Tandai basa hariyoo"
romanized,Aaudai Chu Ma,Yama Buddha,"1 Contributor
Aaudai Chu Ma Lyrics
Verse 1 :

Ahh , Janu Cha Dherai Tada
Par Garera Harek Archann Ra Baada
Chadera Bhirpakha Tarera Har Ilaka
Aadha Bato Hide Aajhai Baki Cha Aadha
Haina Ma Kunai Don Lutera Wa Dada
Hirdaya Cha Safa Nepali Ma Ek Saja
Daura Sulwar Dhaka Topi Pahiran Cha Sada
Khadina Ma Churot Rakshi Chares Wa Ganja
Bayaska Mastisk Mero Chaina Lafanga Para
Pura Garnu Cha Bokeka Sapana Sara
Marda Ko Aathot Ho Yo Chaina Arko Chara
Udi Chunna Chandrama Malai Hunu Cha Tara
Sadhai Yeutai Nara Yestai Nai Cha Para
Harek Garib Dukhiko Ma Bhari Dinchu Bhada
Yo Nepali Ko Nepal Sanga Sambandha Cha Gada
Tesaile Rokna Khojne Sarako Khuskine Cha Dara

Chorus 1 :

Ahh Aaudai Chu Ma
Nepali Ko Jeet Ko Geet Gaaudai chu ma
Ahh Aaudai Chu Ma
Har Pidit Nepali Sanga Mit Laudaichu Ma
Ahh Aaudai Chu Ma
Gorkhali Ko Josh Dhekhera Ramaudai Chu Ma
Ahh Aaudai Chu Ma
Himal Ko Sital Hawa Sanga Haraudai Chu Ma"
nepali,Ek Choti,AXIX,"1 Contributor
Ek Choti Lyrics
[Verse 1]
हात समाइ हेर, जिस्केको होइन
तिमी पाइला जहाँ टेक्छौ
मेरो छाया साथमा हुन्छ
जे बोले आज बोले, बिर्सिने छैन
उसको गल्ती को सजाय आफुलाई नदेउ न
मन भरिको माया, मनमा नराख न
खोलेर आँखा तिमी, पाइला सार न
रमाइलो छ संसार, मनबाट हेर न
पुरानो कथा बिर्सी, नयाँ सुरु गर न

[Chorus]
एकचोटी हासिदेउ न
मेरो हात समाउ न
दिनेछु खुसी सबै
म पनि उ जस्तो होइन
बिचमा छोड्ने छैन
तिमीलाई, हो तिमीलाई

[Verse 2]
आट तिमी गर न, साहस म बनिदिन्छु
तिम्रो नयाँ संसार, मायाले भरिदिन्छु
सपना तिमी देख न, पुरा म गरिदिन्छु
तिमीलाई पाउन अन्तिम सास सम्म कुरिदिन्छु
तिम्रो मनमा लाग्ला सबै केटा एउटै हुन्छ
एकछिन माया देखाई, आफ्नो स्वार्थ पुरा गर्छ
यदि मन बद्लिएमा, म यहि हुनेछु
बिश्वास मान्छे लाई होइन मायामा गर न
गर न"
nepali,Mero Desh Birami,Uniq Poet,"5 Contributors
Translations
Mero Desh Birami Lyrics
[Chorus]
This one dedicated to each and every one of you
From my nation, from my mother, let's go
मेरो देश बिरामी, मेरो देश बिरामी, मेरो देश बिरामी
तर पार्नेछौं यसलाई ठीक एकदिन हामी
मेरो देश बिरामी, uh, मेरो देश बिरामी, yeah, मेरो देश बिरामी
तर पार्नेछौं यसलाई ठीक एकदिन हामी, uh

[Verse 1]
माथीबाट हर्दै सहिदहरूको आत्मा
सतिले सरापिन भविष्य छैन हातमा
जिउँदो लास बनेछु मरी-मरी बाँच्दा
पानामा क्रान्तिकारी गाना होइन गाई जात्रा
लेख्न त लेखें raw कसरी हानुँ
सत्यको साथ दिदैन यहाँको कानुन
के गलत, के ठीक थियो त दैव नै जानुन
तर मेरो पनि त कुनै हक छ, हैन र?
वरिपरि हर्छु राक्ष्यसको राज
दानवको बस्तीमा खेज्दै मानवतावाद
भ्रष्टचार, बल्तकार, अत्याचारको चाप
मेरै गर्ने कलामा कलंकको चाप
Hip-hop माने समाजको ऐना
बल्तकार रेक् हाम्रो आवाजलाई होइन
Hip-hop माने परिवर्तनको गोली
आँटी हेर देश अव्यस पनि बद्लन्छ भोली, अँ"
nepali,Feri Bhet Na Hola,Rikesh Gurung Key's,"1 Contributor
Feri Bhet Na Hola Lyrics
[Verse 1]
केही गल्ती भयो होला, कहाँ भयो सोच्नै सकेन
नराम्रो, शब्द बोले होला, इ ओठलाई रोक्नै सकेन
अब जाने नै त हौ तिमी, हत्तार पनि नगरि देउ
म पनि जान्छु धेरै टाढा, एकैछिन त हो नि बोलिदेउ ।

[Chorus]
फेरी भेट नहोला हेरी राख है
फेरी भेट नहोला हेरी राख है
फेरी भेट नहोला हेरी राख है
फेरी भेट नहोला हेरी राख है

[Verse 2]
झारी पर्ला याद आउला, संगै भिजेको
बाटोहरु भेट्येला संगै डुलेको
आँसु झर्ला, मन रोला, नसम्झी राख है
नलैजाउ मेरो चिनोहरु, गाह्रो होला है
अब जाने नै त हौ तिमी, राम्रो सँग बस है
भेट होला अर्को जुनी मा. यो जुनी त यस्तै भयो है

[Chorus]
फेरी भेट नहोला भुली दिनु है
फेरी भेट नहोला नपर्खिनु है
फेरी भेट नहोला बोलि राख है
फेरी भेट नहोला हेरी राख है"
romanized,Dukha Diyera,The Edge Band,"1 Contributor
Dukha Diyera Lyrics
Dukha diyera ta sabai...
Khusi hunchan aha. aan...
Arulai marera ta sabai...


Bachi rahe cha...

Aansu piyera ta sabai
Hasi raheachan...

Tara dukha sahera ta hera
Aaha.aah

Tara mari mari bachera ta hera
Kati garo cha jeevan bitauna...
Ahaaaaa huhaa
Aha huh ahaaa
Aee aee

Bhandachan yeha
Sabai maya aandho
Huncha bhani
Dukha eklai pokhnu parcha...
Ekantama royee

Bhandachan yeha
Sabai maya aandho
Huncha bhani
Dukha eklai pokhnu parcha...
Ekantama royee"
nepali,Kalo,Tribal Rain,"2 Contributors
Kalo Lyrics
[Verse 1]
अन्धकारमा जन्म लिएर दुःखको आँशु पिएर
नदेखेपनि महसुस गरे तिम्रो स्वार्थी संसार

[Chorus]
उडी बस्छु म मेरो कालो कालो आकाशमा
असम्भव छैन तिम्रो संसार मलाई हेरन
के हो मेरो दिन के हो मेरो रात

[Verse 2]
भोलि कहाँ हुनेछु मलाई डर छैन
आशा गर्नेछु सुनौलो हुनेछ
नदेखेपनि विश्वास गरे आफूलाई यहाँ

[Chorus]
उडी बस्छु म मेरो कालो कालो आकाशमा
असम्भव छैन तिम्रो संसार मलाई हेरन
के हो मेरो दिन के हो मेरो रात

[Bridge]
अन्धकारमा जन्म लिएर दुखको आँसु पिएर
नदेखे पनि विश्वास गरे आफैलाई यहाँ

[Outro]
उडी बस्छु म मेरो कालो आकाशमा
उडी बस्छु म मेरो कालो आकाशमा
उडी बस्छु म मेरो कालो आकाशमा
उडी बस्छु म मेरो कालो आकाशमा"
nepali,Najauna Malai Chhodi,Prakash Shrestha & Sushma Shrestha,"2 Contributors
Najauna Malai Chhodi Lyrics
[Chorus]
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्यान्टे मायलु
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्यान्टे मायलु
थामी सकेँ तिमीलाई कसम, तिम्रो कसम, सँगै बसम, झिल्के मायालु
थामी सकेँ तिमीलाई कसम, तिम्रो कसम, सँगै बसम, झिल्के मायालु
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्यट्टै मायलु

[Verse 1]
कस्ता-कस्ता बाधाहरू फुकाएर आए
तिम्रो माया यो मुटुमा लुकाएर आए
सुनेको थिएँ, तर थिएन पत्ताएको
लैरो टेकी पैला जाने कस्तो बैसा आको लैन नि
यस्तो मैका फेरी आउछ आउदैन
माया हुन्छ मनले पो, कपालले होइन
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्यान्टे मायलु

[Verse 2]
हामी भने तिम्रा लागि भनि भुतुक्क भइ मर्ने
तिमी कस्तो निष्ठुरी छि परपर सर्ने
खोलानाला भरबाट हाम् फालु कि बोरु?
मेरो सत लुटिने भो लैन कसो गरुँ?
मनको धोको नपुर्याइ त आज छोड्ने छैन
मन्छो बुढो मनले हुन्छ, उमेरले होइन

[Chorus]
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्याटी मायलु
मान्छु-मान्छु तिम्रो कुरा, गर्छु पुरा लाग्ने छुरा, मेरी मायालु
हो, नजाउन मलाई छोडी मुख मोडी, दिल टोडी, च्याटी मायलु (ध्यट फटाहा)"
nepali,Maya Pirati,Kali Prasad Baskota,"1 Contributor
Maya Pirati Lyrics
[Verse 1]
मलाई माया पिरती
ऐऊ! माया पिरती
लाउँ कि नलाउँ दोमन भो
आधाउधी जोवन को
ऐँठन भो

[Chorus]
मलाई माया पिरती
ऐऊ! माया पिरती

[Verse 2]
भाको माया हुन्न रैछ थीर
फेरि लाको माया जाला भन्ने पीर
भन्नेलाई चासो भो
सुन्नेलाई हाँसो भो
गन्थन भो

[Chorus]
मलाई माया पिरती
लौन माया पिरती

[Verse 3]
एउटै जुनि देउताको खेला भयो
अभागीकै पालोमा झेला भयो
नलाउँ भने खाँचो भो
लाउँ त भने पासो हो
ऐँठन भो"
romanized,Kich Kich,Brijesh Shrestha & Beyond (Nepal),"4 Contributors
Kich Kich Lyrics
[Verse 1: Birjesh Shrestha & Beyond]
Bihan bihanai mero phone kina baje ko?
Phone uuthai, ""Hello"" vanna saath suru bhayo
Timro kich kich
Ke saro kich kich?
Bhanchau timi, ""Tyo sanga kina boleko?""
Ani ma bhanchu, ""Mero Facebook kina kholeko?""
Umm, hamro kich kich
Feri naya kich kich
Ma ta hi bhanda hello pani bhanna na paune
Timi keta haru sanga maski malai tarsa une
Ma bole chai flirt!
Uu bole chai saathi?
Chad kine gari hanchu telai kaan ko mathi

[Chorus: Birjesh Shrestha & Beyond]
Hamro kich kich
Gidi lagdo kich kich
Ke saaro kich kich?
Feri naya kich kich

Hamro kich kich
Gidi lagdo kich kich
Ke saaro kich kich?
Feri naya kich kich"
nepali,Sanskriti,Mantra Band,"1 Contributor
Sanskriti Lyrics
[Verse 1]
बिर्सेको छैनौ हामी संस्कृति अझै पनि
नशा नशा मा पुर्खाको रगत बग्दछ अझै पनि
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
तर छाती भरी माया छ आफ्नै जाती प्रती
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला

[Verse 2]
नौलो छ शैली हाम्रो, नौलो छ हाम्रो यो भेष
बिर्सेको छैनौ तर पहाड, झरना, खोलाको देश
डम्फु र मादल नहोला हाम्रो, सारंगी नहोला
डम्फु र मादल नहोला हाम्रो, सारंगी नहोला
तर मुटु भरी माया छ यहाकै संगीत प्रती
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो

[Verse 3]
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
शिरमा टोपी नहोला हाम्रो, दौरा सुरुवाल नहोला
तर छाती भरी माया छ आफ्नै जाती प्रती
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो
देउराली पाखा भिरालो कसरी बिर्सुला
यहि माटोमा जन्मेको यसैमा मिलुला
मारुनी, सेलो, जुहारी प्रेरणा हाम्रो हो
जे भने नि लोक भाका साह्रै नै राम्रो हो"
nepali,Mero Mana Ma,Samir Shrestha,"1 Contributor
Translations
Mero Mana Ma Lyrics
[Verse 1]
मेरो मन मा तिम्लाइ राखिसके
मेरा यादहरु मा तिम्लाइ सजाइ सके
जानदिउ माया तिमीलाई कसरी ?
बसन मेरै अंगालोमा बेरी

[Verse 2]
तिम्रा बातहरु मा यो मन रमाई सक्यो
तिम्रो लत मलाइ हेर लागिसक्यो
जानदिउ माया तिम्लाई कसरी?
बाच्न सिकेछु तिम्लाई पाए पछि

[Verse 3]
तिम्रै मुहर हेरी
तिम्रै चित्र केरी
तिम्रै बातहरु मा सारा संसार भुली
हसाइराखुला तिमिलाइ जसो जे गरि

[Verse 4]
जाने नै हौ तिमि रोकु कसरी ?
अनन्त भावना पोखु कसरी ?
बसौला माया तिम्लाई पर्खेर
जाने छैन म कतै बदलेर ।"
romanized,VTEN - CYPHER (Romanized),Genius Romanizations,"1 Contributor
Translations
VTEN - CYPHER (Romanized) Lyrics
[Intro]
Ramro saga sunxas vane ramro Geet
Naramro saga sunxan vane naramro dish
Pachaune le pachauxa
Napachaune harule mukh ma aula kocharera xaade hunxa
(Ayy)

[Verse 1]
Kohi sathi prahari bane koi sathi gunda
Kohi chai khalasi garxa ma chai afnai dhun ma
Yastai xa paara mero kam dham xaina
Mero pariwar hune khaane khaandan haina
Tara baal lagdaina kaile haar mandaina
Ma fasne wala xaina taile jaal faldaima
Bokera daudirako xu ma naya soch
Sangharsha garna aako hu gardina ma ya moj
Tesaile ma kehi garera khanxu
Natra marera janxu
Baru ladera bachxu
Aghi badhera hasxu
Mero naya soch naya bichar xa
Waripari syal haru aayo malai chitharna
Teipani uthxu ma dukha lai bujhnu xa
Aafno jimmewari ko agadi jaile pugxu ma
Tesaile bujhi rako xu yo sab kura haru
Manxe ma fataa xu tara boleko pura garxu
Balla balla hoss aaxa xaina man ma lov laalach
Harayeko yatri hu ma daraudina chot khaana
Ghaite xu ma aaja tara sakya xaina josh jagar
Eklo vaye ma jaa laure lai khoj kaa xa
Tara yaa sabai jana lutera ra chor fataa
Ma kataa
Tetai daudinxu malai faida aauxa jo bata
Sala fokat ma
Jindagi kheldai xu ma juwa jasto bot xakka
Tara aile moj garda pani kaile didina saan
Maile birsya xaina ma khaate aako thiye road bata
Top tanna, xirthe galli
Tara aile xirxu muji note xaapna"
romanized,Chhewang Lama - Lahure (Romanized),Genius Romanizations,"1 Contributor
Translations
Chhewang Lama - Lahure (Romanized) Lyrics
[Verse 1]
Kewal timi nai mero prerna
Kewal timi nai mero prerna
Binti timi pani malai herana

[Chorus]
Kasto maya timi sanga basyo
Timro sapna aankha mai sajyo
Kewal timi nai mero prerna
Binti timi pani malai herana

[Verse]
Timro man ma mero maya chha hera
Timro jawani lai kina phalchhau hera
Aaau timi aau hami sangai ramau
Pirati gasula
Aaau timi aau hami sangai ramau
Chhamchhami Nachula
Marchhu bhana mero lagi
Mai pani marula

[Chorus]
Kasto maya timi sanga basyo
Timro sapna aankha mai sajyo
Kewal timi nai mero prerna
Binti timi pani malai herana"
nepali,Bhan Saali Teri Didi Ka Chha (Paschimeli Chelo),Chakra Bam,"2 Contributors
Bhan Saali Teri Didi Ka Chha (Paschimeli Chelo) Lyrics
केटा: चक्लेट दिया भुल्लि जान्थि हिरा चणि नाच
अहिले पो ठुलीभइ भन सालि तेरि दिदि काछ
काख राखि म्वाइ खायाको हिरा चणि नाच
अबत भुलीहोइ भन सालि तेरि दिदि काछ
केटि: बालापन रहेन अब हिरा चणि नाच
नगर ख्याल ठट्टा ओ भेना मेरि दिदि काछ
छैनप उहिलेका जसो हिरा चणि नाच
भरि गया बुट्टा ओ भेना मेरि दिदि काछ

केटा: (ए लौ लौ लौबिर्या छम्को)
(ए लौ लौ लौबिर्या छम्को)
(पस्चिमेलि चेलो छैन है कमको)
(पस्चिमेलि चेलो छैन है कमको)

केटा: बैशको घमण्ड नगर हिरा चणि नाच
तस्सोइ ओइलि जालो भन सालि तेरि दिदि काछ
घरकि ले मन भरेन हिरा चणि नाच
अब तेरो पालो भन सालि तेरि दिदि काछ
केटि: कल्कलाउदो जोबन मेरो हिरा चणि नाच
बसुलाकि जलाइ ओ भेना मेरि दिदि काछ
दिदि माथि सौता जान्या हिरा चणि नाच
क्या सोच्याछौ मलाइ ओ भेना मेरि दिदि काछ

केटि: (ए लै लैलै लै बिरि छम्कि )
(ए लै लैलै लै बिरि छम्कि )
(पस्चिमेलि चेलि छैन है कमकि)
(पस्चिमेलि चेलि छैन है कमकि)"
romanized,Black And White,ZEROO,"3 Contributors
Black And White Lyrics
Verse
Tmlai maya garda aafulai nei birsey chu
Maya ko khel ma haarey sayad bholi jitney chu
Tmley chadey pachi dherai kti haru bhetey tara saachai bhannu parda khaas ma n none of them could replace you Usko haat samatda pani tmro yaad aaucha
Tmi ja chau aahiley malai mann cha ekdam tya aauna
Uh ramaudaina mero tauko ko tyo cap launa
Tmi nabhaako bhaye sayad choddthey mailey rap gauna Tmley chadi gayou basey ma tyei Aljhera
Hyerchu tmro photo jailey baschu tmlai samjhera
Eklo huna mannthena tyei yaad haru ma adkey ma
Tara jaaney manchey gayisakey si aaunna farkera
Yo mutu maathi mero ghatak prahar bhayiraakhyo
Na saath ma tanna paisa thyo, yo aakhan ashar mahina bho
Tmley chaadi gayihaalyou ma Saurav haina pailako
Choko thiyo maya tara mutu tmro maila bho
Relationship ma amma kassam ekdamai serious they Jindagi bhacha black and white purano tv jastai
Pau ma tmro giri rahey khutta bhaye jutta katti aaucha tara ka pauna ra kti thyakka tmi jastaii
Dherai kura sunaunu cha tara eta ko cha ra
Bhagyamaani huncha tyo aaba janchau jo sanga
Ramro sanga hoss gara nadinu aafno jabana
Sodhey mero barey ma purano saathi ho bhana
Nasha ma ekdam dubna madira ni peuna mann cha Tukreko mutu lai samhaali pheri seuna mann cha
Timilai bhyeteko paila din pheri Juinu mann cha
Tmlai pauchu angaalo ma tara thorai peunu parcha
Khusi ta bhaako they tmro bharosa jitda pani
Maanah ko kura sabai mero yo geet ma cha ni
Chadera janchu bhanda dukhya thyo chitta thorai
Tmrei yaad aaucha Baghbazar ko galli hirda pani
Mutu yo ghayal bhayo choddinchu pagal pan yo
Tmro tyo aangaalo ma laagthyo ki aafno pann thyo Sunina aafno mann ko tanchu churot ko sarko
Aaja bhayin anjaan hijo jasley malai aafno bhanthyo Sunauda geet mero bhanthyou tmro fan ho ma
Sajauthyo pariwaar bhayeni aafnei euta syano ghar Ekdamai lajalu thyou tmro aawaz aajhai pyaro cha
Ghari ghari yaad aaucha tyo angaalo ko nyanopan
Gaaro huncha aashu ley aakhan bharey pachi
Chitta dukhcha aafno ley nai saatha chodey pachi
Din bhari muhar ma jhuto haaso huncha tara kassam dherai yaad aaucha sajha parey pachi
Tmi farkinnau ma garchu esko samana
Bhanya they tmlai lyaudina ni mero gana ma
Sadhai hunu khusi aashu nahos tmro aakha ma
Naya jindagi ko tmlai dherai subhakamana"
nepali,Bhumari,Chirag Khadka,"3 Contributors
Bhumari Lyrics
[Verse 1]
उड्न देउ मलाई पन्छी जस्तै
पुराना दिनहरु याद बनि सम्झी बस्दै
झझल्को रंगीन सबै, हराउछु म संगीतमै
मनको कुरा मन भित्रनै, बुझिन्छ सब अन्तिम मै (yeah)
सुरुवात छ अन्योल
अचम्मको पल यो
घडबड हुन्छ मन यो
घामको किरण टल्क्यो
हात कोरिदा सल्क्यो
धैर्य धारन बल्यो
तेसै कारण आत्ते पनि सबै ठिक छ भन्दियो
जीवनको यात्रा एक संगर्स हो
हैन यो दुई दिन तीन महिना चार वर्षको
एक्कैछिनलाई पर्ख bro
Life पुरै circus हो
यत्तिकै बाचेर यो जीवनको के यहाँ अर्थ भो
निकाल रिस तिम्रो जस्तो बिष
कालो सर्पको पो तानेर (twist)
जैले high हुदै फेरी अर्थ खोज
अफ्ट्यारो र कठिन, सजिलो र सरल होस्
मरेपछि पुग्ने हामी एउटै ठाउँ
परलोग, hmm

[Chorus]
जीवनको भुमरीले घुमौलाहै घुमौला है
मलाई बाल भन्दै हिड्न सिक हिड्न सिक
तैरिदै जाउ फेरी डुबौला है डुबौला है
पानीको झालसंगै बग्न सिका बग्न सिक
जीवनको भुमरीले घुमौलाहै घुमौला है
मलाई बाल भन्दै हिड्न सिक हिड्न सिक
तैरिदै जाउ फेरी डुबौला है डुबौला है
पानीको झालसंगै बग्न सिका बग्न सिक"
nepali,Lai Bari Lai,Vek,"3 Contributors
Lai Bari Lai Lyrics
[Pre-Chorus]
के भन्नु खोई शब्दहरू हराए छन् सबै
लाग्दैछ उडी रहेछु म माथी एक्लै
झस्किनछु, के भएको म?

[Chorus]
आफैसंगै बोल्दै बस्छु सधैँ
लाग्दैछ अल्झी रहेछु म कहीं कतै (अल्झी रहेछु म कहीं कतै)
आतीन्छु के गर्दिनँ म (के गर्दिनँ म)
केहि गर्नु मन छैन मलाई
हाँस्दिन्छु एकफेर सम्झेर आफैलाई हेरेर, लै-बरि-लै

[Drop]
लै-बरि-लै (Hey)
लै-बरि-लै (Hey)
लै-बरि-लै
ल-ल-ल-ल-ल-ल
लै-बरि-लै
ल-ल-ल-ल-ल-ल-लै-बरि
ल-ल-ल-ल-ल-ल-लै-बरि

[Verse]
हेर्छु बाहिर लाग्छ दुनिया अर्कै (Yeah)
कुरा विभिन्न प्रश्नहरू उठ्छ धेरै
छिनमा लाग्छ रमाईलो, छिनमा हराउछु आफै (आफै)
उठेर पुगे जस्तो लाग्छ धेरै पर, तर हुन्छु म यतै कतै"
nepali,Yasto Pani Hudo Raichha,Phatteman,"1 Contributor
Yasto Pani Hudo Raichha Lyrics
[Chorus]
यस्तो पनि हुँदो रैछ
जिन्दगीमा कहिले कहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ

[Chorus]
यस्तो पनि हुँदो रैछ
जिन्दगीमा कहिले कहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ

[Verse 1]
मेरो जस्तो माया दिने
तिमीलाई हजार होलान
तिम्रा लागि मेरा जस्ता
हजार हजार मुटु रोलान
जसलाई आफ्नो सम्झेको थिएँ
उही बिरानो भयो अहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ

[Verse 2]
मेरो माया कुल्ची जाने
तिम्रो माया फलोस फुलोस
मेरो इच्छा मारी जाने
तिम्रो इच्छा सधैँ पुगोस्
उदास आँखा मेरा पनि
सपना देख्थे पहिले पहिले
कसैलाई माया गर्नु
एउटा भुल गरें मैले
यस्तो पनि हुँदो रैछ"
nepali,Marijau,Sajjan Raj Vaidya and Bikky Gurung,"1 Contributor
Marijau Lyrics
[Verse 1: Bikky Gurung]
कुरा सबै थाहै छ नि, तिमीलाई के भनु म?
पागल छु म तिम्रै लागि, तिम्रो के नै छ र दोष?
तिमी हाँसेको हेरीरहे सधैं भरि यसरी नै
तिम्रो आँखामा आँसु देखे मरी जाँऊ, सासै राेकी
कुरा सबै थाहै छ नि, तिमीलाई के भनु म?
पागल छु म तिम्रै लागि, तिम्रो के नै छ र दोष?
तिमी हासेको हेरीरहे सधैं भरि
यसरी नै तिम्रो आँखामा आँसु देखे मरी जाँऊ, सासै राेकी

[Chorus: Bikky Guring]
मरी जाँऊ, मरी जाँऊ, मरी जाँऊ, मरी जाँऊ, yeah
तिमी नै हौउ, तिमी नै हौउ
मनले रोजेको, तिमी नै हौउ

[Instrumental]

[Verse 2: Sajjan Raj Vaidya]
एकान्तमा आएर कानमा मेरो सधै गुनगुनाउने
पोखेर मानका भावना, सधैं मलाई अंगालने
एकान्तमा आएर कानमा मेरो सधै गुनगुनाउने
पोखेर मानका भावना, सधैं मलाई अंगालने
तिम्रो बानी, मनमानी सबै याद आई रहन्छ
कल्कालाउँदो मेरो छाती सास आधि रहन्छ

[Chorus: Sajjan Raj Vaidya]
मरी जाँऊ, मरी जाँऊ (Ooh, ooh)
तिमी नै हौउ, तिमी नै हौउ (Mhmm, mhmm, mhmm)"
