Category,Title,Artist,Lyrics
romanized,Nepali Superman,Mc Flo,"1 Contributor
Nepali Superman Lyrics
[Chorus]
Ma timro super man
Huna chahanxu
Ma timro super man

[Verse 1]
Ma timro lagi akash ko jun tara
Lyauna sakdina tipera, tara ma
Thachaina kina ho maya ma timi lai
Gari rahanchu
Timrai bato ma parki, chokai ma basi
Tyei timro cafe ma jaha khanxu coffee
Athenau timi ta hijo ra asti
Aja ni malai ta heranau farki
Mero messenger chat pani block xa
Aru gunaso dherai xa tara
Reesai basna ma sakdina timi sanga
Rakhexu sajara mutu vitra
Timro lagi ma kordai xu patra
Mero maya lai kholera padha
Ma timro jivan ko ek matra hero ho ma
Aayera basa timi ma sanga

[Chorus]
Ma timro super man
Huna chahanxu
Ma timro super man"
romanized,Speech By A Nepali Teenager,MC Rage,"1 Contributor
Speech By A Nepali Teenager Lyrics
Speech By A Nepali Teenager - MC 'Rage

(Verse)

Dankidaicha pralayagni ago, KRANTI KAI ( Sorrounding's filled with the black flames and smoke of violence )

Sabai bhando thulo prasna ""SANTI KHAI"" ( The biggest question in front'a us, where's peace and silence )

Fags left nepal like ""NON-STOP DECAY(IN)""


They shud'a paved a path for us, NOT STOP THE WAY


Thought we cud make a change, but they ain't LETTIN US

Selfish pricks, generated HATE IN US

Jata here ni tyastai (No matter where you are or see), all you see is CRY AND PAIN


Sahid ko balidan yaad gar ( try'ta remember the sacrifices made by our martyrs) , did they DIE IN VAIN ?


Nah, we can't let'em, I mean how we CUD WE LET'EM

Fellow citizens of nepal G-GO GET'EM

STAY TOGETHER, HATE TOGETHER, CreATE TOGETHER"
nepali,Nepali Angreji,Sajjan Raj Vaidya,"1 Contributor
Nepali Angreji Lyrics
के के गरेर जहाज चढेर
अनौठो सहरमा बस्ती बसाएँ
टाक्राक र टुक्रुक गर्दा गर्दै
दुई चार वटा त्यही गाना बनाएँ

सोध्न त्यसबारे म भनिहाल्छु क्यारे
के गरी यहाँ आएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ

त्यस्तै हो भने न सुन्न त कुरो
रोएर नै होलास् तँ बुढो
नत्र भने चाहिँ किचकिच नगरी
रमाइलो तालले सुन् कथा मेरो

सोध् बरु मलाई अनि भन्छु तलाई
के कसो कहाँ गएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ

ढाका नलाए नेपाली होइन रे
र दोहोरी नगए परदेशी
म नेपाली हुन तेरै अनुमति
चाहिने पो मलाई भनेछि

नेपाल नबसे नेपाली होइन रे
गाउँदा खेरि मुख नबटर्नु अरे
""यो भन त्यो भन"" सोध्यो चाहिँ कोल्ले?
मुख बटारेरै गीत गाउनु छ रे"
nepali,Nepali Ho,Raila Roka,"2 Contributors
Translations
Nepali Ho Lyrics
[Chorus]
हिमाल पहाड तराई हाम्रै हो
रातो सेतो रंगै हो
चन्द्र सुर्य हाम्रै हो
ढाका टोपी हाम्रै हो
दौरासुरुवाल हाम्रै हो
सगरमाथा हाम्रै हो
लुपिलेखा हाम्रै हो
गर्व गर्छु म नेपाली हो

[Post-Chorus]
हो है हो (हो है हो है हो)
हो है हो है हो
हो है हो (हो है हो है हो)
हो है हो है हो

[Verse 1: Raila Rokka]
बिर गोर्खाली नि हामि हो (बिर गोर्खाली)
ढाका टोपी सिरमा लगाको (ढाका टोपी)
खुकुरी भिडी हिडेको (oh)
संसारको मनमा बसेको
तिस्था देखि कांगड़ा सम्म हाम्रै हो (हाम्रै हो)
पृथ्वी बाजेले पहिले बनाको (बनाको)
थाछैन मेरो साथि भाई कता गो? (कता गो, थाछैन)
जहाँ भए पनि आखिर तिम्रो मन त नेपाली हो
रैला पारामा हिड्ने हो
द्यौसी भैलो पनि खेल्ने हो
कानमा जमरा
निधारमा टिका आशिस आमा बुवाको
सिरमा लालिगुरास आहा कति सुहाको
त्यसैले मन बद्लिदैन
समय बदले पनि हाम्रो मन बद्लिदैना
दुई हात जोडी नमस्ते! नेपालि हो
नेपाल सगरमाथाको मुटुमा खोज
तिन करोड नेपाली एउटै नेपाल हो
नेपालि माटो नेपाली सबैको (नेपालि सबैको)
हामि नेपाली नेपालको रक्षक हो (नेपाली रक्षक हो)
हामि सबैको नेपाल आमा हो
जन्मिए यहि माटोमा म, जल्छु यहि माटोमा म
नेपाल मेरो छातीमा छ, स्वोर्ग हो यो छाड्दिन म"
nepali,Nepali Ho,1974 AD,"1 Contributor
Nepali Ho Lyrics
[Chorus]
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
मलाई गर्भ छ, हाम्रो पुर्खाले
कति व्यर्थाहरु सहेर?
कति व्यर्थाहरु सहेर?
इतिहासमा कथा त लेखेकै छ
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे

[Verse 1]
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
आफ्नै कर्ममा अटल रहने
आफनै पसिनामा बिस्वास राख्ने
यो मन त मेरो नेपाली हो!

[Verse 2]
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
हिमाल झैँ चम्किलो सफा छ छाती
आकाश जाहाँ फिजिएको बिचार छ बिशाल
यो मन त मेरो नेपाली हो!"
nepali,ROSÉ - On The Ground (नेपाली आनुवाद),Genius Nepali Translations (नेपाली आनुवाद),"6 Contributors
Translations
ROSÉ - On The Ground (नेपाली आनुवाद) Lyrics
[Verse 1]
मेरो जिवन जादु सरह भएको छ, हेर्दा कति राम्रो देखिन्छ
भुईमा गद्दा र भित्तामा प्वाल हुने गर्थ्यो
जब चाहन्छु, अचानक पाउँछु
अनि पछि थहा पाउँछु कि ति सुनहरु प्लास्टिक मात्र हुन् भनेर
हरेक दिन, हरेक रात
म तिमी र मेरो बारेमा सोँच्दैछु
हरेक दिन, हरेक रात

[Pre-Chorus]
मैले जीवनभर काम गरें
केवल सही हुन, बस यति सोँच्न
""मलाई हेर, म कहिलै तल झर्दिन""
मैले जीवनभर काम गरें
केवल आकाश छुन, केवल महसुस गर्न कि
मलाई चाहिने सबै कुरा
मलाई चाहिने सबै कुरा जमीनमै छ

[Chorus]
जमीनमै
मलाई चाहिने सबै कुरा जमीनमै छ
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(हो, जे माथि जान्छ, त्यो तल आउनै पर्छ)
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(तिम्रो समय सकिन लागिसक्यो)"
romanized,Tyo mann ma Nepali song,Ashit Ryee sikkimese,"2 Contributors
Tyo mann ma Nepali song Lyrics
Tyo mann ma mero laagi
Kunai din maya palaune cha ×2
Tara vanna sakdina tyo din
Tara vanna sakdina tyo din
Mero mann ma timinai hunchau hudainau×2
Tyo mann ma mero laagi
Kunai din maya palaune cha...."
nepali,"Saunko Jhari Bani, Nepali Song",Narayan Gopal,"1 Contributor
Saunko Jhari Bani, Nepali Song Lyrics
साउनको झरी बनि, तिमी आऊ
न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।

हो
बाफ़िएर आज हिमाल
किन रोएछ।
कता-कता मनभित्र, घाऊ
दुखेछ।
बिहानी भो किरण संगै
तिमी आऊ न।
छातीभित्र मुटु बोल्छ
तिमी आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।

हो
निसास्सिएको पारी
पाखा, कति धुमैलो।
डुब्दै जाने घामले हो
कि, डढेलो लागेको।
भन्ज्यांग अनि पाखा
भन्छ, तिमी आऊ न।
फूलहरु रोई भन्छ, तिमी
आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।"
nepali,Ma Chahi Nepali,Samriddhi Rai,"3 Contributors
Ma Chahi Nepali Lyrics
[Verse 1]
आज कति भागमा फुट्यौं हामी?
जातकै कुरामा अल्झी जानी-नजानी
जब संसार मिलिजुली एकै हुँदैछ
""केटा कुन जातको मनपराईस्?""
""केटी कुन थरको तैले भगाईस्?""
किन यहाँ सबैलाई राज्य चाहिएको छ?

[Pre-Chorus]
को मतवाली, को बाहुन क्षेत्री?
के हामी एकै होइनौं र?
त्यसैले जातभात छुट्याउनेलाई
तिमी यही भन्ने गर

[Chorus]
तिमी को हो थाहा भएन
म चाहिँ नेपाली
तिमी को हो थाहा भएन
म चाहिँ नेपाली

[Verse 2]
मानिस ठूलो जातले हुन्न यहाँ
दिल नै ठूलो सबै थोक भन्दा
मुना-मदन आए गए, कसैले केही बुझेन
सगरमाथा कसको भागमा पर्ला फेरि?
बुद्ध बाड्ने कसको जिम्मेवारी
नेपाल, हाम्रो प्यारो देशमा
हिंसा अब चाहिएन"
nepali,Nepali,Albatross,"4 Contributors
Nepali Lyrics
[Verse 1]
मान्छेको बोली बन्दुकको गोली
झुक्याएका छन् जथाभाबी बोली
सुनेर बसेकाछौँ नेपाली
बाजेले भन्थे कलियुग लागे
देउताले नि मन्दिर छोडी भागे
बुझेर बसेकाछौँ नेपाली
बुझेर बसेकाछौँ नेपाली

[Chorus]
बस्दिन पापी यो शहरमा
बिरानो लोभी यो नगरमा

[Verse 2]
मान्छेको बोली बन्दुक को गोली
सजाय होला आज या भोलि
कुरेर बसेकाछौँ नेपाली
कसैले केहि गर्दिए नि हुन्थ्यो
कोही कहिँ जागे नि हुन्थ्यो
पर्खेर बसेकाछौँ नेपाली
पर्खेर बसेकाछौँ नेपाली

[Chorus]
बस्दिन पापी यो शहरमा
बिरानो रोघी यो नगरमा
बस्दिन पापी यो शहरमा
मुक्ति देऊ मलाई"
