song_id,title,artist,category,lyrics,token_count
10,Nepali Superman,Mc Flo,romanized,"मा तिम्रो सुपर मान
हुना चाहन्छु
मा तिम्रो सुपर मान
मा तिम्रो लागी आकाश को जुन तारा
ल्याउन सक्दिन टिपेर, तारा मा
थचाइन किना हो माया मा तिमी लाई
गरी रहन्छु
तिम्रै बाटो मा पर्की, चोकै मा बासी
त्येइ तिम्रो क्याफे मा जाहा खाँचु कफी
अठेनौ तिमी टा हिजो रा अस्ती
आजा नि मलाई टा हेरनौ फर्की
मेरो मेसेन्जर चट पानी ब्लक चा
अरू गुनासो धेरै चा तारा
रीसै बस्न मा सक्दिन तिमी संग
राखेछु सजारा मुटु वित्र
तिम्रो लागी मा कोर्दै छु पत्र
मेरो माया लाई खोलेर पढा
मा तिम्रो जीवन को एक मात्र हेरो हो मा
आयेर बसा तिमी मा संग
मा तिम्रो सुपर मान
हुना चाहन्छु
मा तिम्रो सुपर मान",92
11,Speech By A Nepali Teenager,MC Rage,romanized,"डाँकिदैछ प्रलयग्नी आगो, क्रान्ति कै
सबै भन्दो ठूलो प्रस्न सन्ती खाइ
फ्याग्स लेफ्ट नेपाल लिके ""नोन-स्टप डिके
थे शुद'आ पवेद आ पाठ फोर यूएस, नोट स्टप थे वे
थाउष्ट वे कड माके आ चाँगे, बुट थे एआइएन'टी लेटिन यूएस
सेल्फिश प्रिक्स, जेनेरेटेड हाते आइएन यूएस
जाता हेरे नि त्यस्तै , एएलएल योउ सी आइएस सीआरआई एएनडी पाइँ
सहिद को बलिदान याद गर , डिड थे दिए आइएन वैं ?
नाह, वे क्यान्ट लेटेम, आई मियन होव वे कड वे लेट'ईएम
फेलो सिटिजेन्स ओएफ नेपाल जीएस-गो गेट'ईएम
स्टे टोगेथर, हाते टोगेथर, क्रिएट टोगेथर",86
12,Nepali Angreji,Sajjan Raj Vaidya,nepali,"के के गरेर जहाज चढेर
अनौठो सहरमा बस्ती बसाएँ
टाक्राक र टुक्रुक गर्दा गर्दै
दुई चार वटा त्यही गाना बनाएँ
सोध्न त्यसबारे म भनिहाल्छु क्यारे
के गरी यहाँ आएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ
त्यस्तै हो भने न सुन्न त कुरो
रोएर नै होलास् तँ बुढो
नत्र भने चाहिँ किचकिच नगरी
रमाइलो तालले सुन् कथा मेरो
सोध् बरु मलाई अनि भन्छु तलाई
के कसो कहाँ गएँ म
तलाई चाहिँ मेरो अङ्ग्रेजी कै चासो छ
ढाका नलाए नेपाली होइन रे
र दोहोरी नगए परदेशी
म नेपाली हुन तेरै अनुमति
चाहिने पो मलाई भनेछि
नेपाल नबसे नेपाली होइन रे
गाउँदा खेरि मुख नबटर्नु अरे
यो भन त्यो भन"" सोध्यो चाहिँ कोल्ले?
मुख बटारेरै गीत गाउनु छ रे",98
13,Nepali Ho,Raila Roka,nepali,"हिमाल पहाड तराई हाम्रै हो
रातो सेतो रंगै हो
चन्द्र सुर्य हाम्रै हो
ढाका टोपी हाम्रै हो
दौरासुरुवाल हाम्रै हो
सगरमाथा हाम्रै हो
लुपिलेखा हाम्रै हो
गर्व गर्छु म नेपाली हो
हो है हो (हो है हो है हो)
हो है हो है हो
हो है हो (हो है हो है हो)
हो है हो है हो
बिर गोर्खाली नि हामि हो (बिर गोर्खाली)
ढाका टोपी सिरमा लगाको (ढाका टोपी)
खुकुरी भिडी हिडेको
संसारको मनमा बसेको
तिस्था देखि कांगड़ा सम्म हाम्रै हो (हाम्रै हो)
पृथ्वी बाजेले पहिले बनाको (बनाको)
थाछैन मेरो साथि भाई कता गो? (कता गो, थाछैन)
जहाँ भए पनि आखिर तिम्रो मन त नेपाली हो
रैला पारामा हिड्ने हो
द्यौसी भैलो पनि खेल्ने हो
कानमा जमरा
निधारमा टिका आशिस आमा बुवाको
सिरमा लालिगुरास आहा कति सुहाको
त्यसैले मन बद्लिदैन
समय बदले पनि हाम्रो मन बद्लिदैना
दुई हात जोडी नमस्ते! नेपालि हो
नेपाल सगरमाथाको मुटुमा खोज
तिन करोड नेपाली एउटै नेपाल हो
नेपालि माटो नेपाली सबैको (नेपालि सबैको)
हामि नेपाली नेपालको रक्षक हो (नेपाली रक्षक हो)
हामि सबैको नेपाल आमा हो
जन्मिए यहि माटोमा म, जल्छु यहि माटोमा म
नेपाल मेरो छातीमा छ, स्वोर्ग हो यो छाड्दिन म",164
14,Nepali Ho,1974 AD,nepali,"जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
मलाई गर्भ छ, हाम्रो पुर्खाले
कति व्यर्थाहरु सहेर?
कति व्यर्थाहरु सहेर?
इतिहासमा कथा त लेखेकै छ
जसो गर, जे भन, जता सुकै लैजाउ मलाई
यो मन त मेराे नेपाली हाे
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
न नै लडाईको मैदानबाट भागी दिन्छ
न त सूनको तराजुमा बेखिदिन्छ
आफ्नै कर्ममा अटल रहने
आफनै पसिनामा बिस्वास राख्ने
यो मन त मेरो नेपाली हो!
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
न नै आरुको भरोशामा बाची दिन्छ
न त आफ्नो अधिकारलाई लुट्न दिन्छ
हिमाल झैँ चम्किलो सफा छ छाती
आकाश जाहाँ फिजिएको बिचार छ बिशाल
यो मन त मेरो नेपाली हो!",116
15,ROSÉ - On The Ground,Genius Nepali Translations (नेपाली आनुवाद),nepali,"मेरो जिवन जादु सरह भएको छ, हेर्दा कति राम्रो देखिन्छ
भुईमा गद्दा र भित्तामा प्वाल हुने गर्थ्यो
जब चाहन्छु, अचानक पाउँछु
अनि पछि थहा पाउँछु कि ति सुनहरु प्लास्टिक मात्र हुन् भनेर
हरेक दिन, हरेक रात
म तिमी र मेरो बारेमा सोँच्दैछु
हरेक दिन, हरेक रात
मैले जीवनभर काम गरें
केवल सही हुन, बस यति सोँच्न
मलाई हेर, म कहिलै तल झर्दिन
मैले जीवनभर काम गरें
केवल आकाश छुन, केवल महसुस गर्न कि
मलाई चाहिने सबै कुरा
मलाई चाहिने सबै कुरा जमीनमै छ
जमीनमै
मलाई चाहिने सबै कुरा जमीनमै छ
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(हो, जे माथि जान्छ, त्यो तल आउनै पर्छ)
अहँ, तर तिनीहरूले मलाई सुन्दैनन्
(तिम्रो समय सकिन लागिसक्यो)",96
16,Tyo mann ma,Ashit Ryee sikkimese,romanized,"कुनै दिन माया पलाउने चा ×2
तारा वन्न सक्दिन त्यो दिन
तारा वन्न सक्दिन त्यो दिन
मेरो म्यान मा तिमिनै हुन्चौ हुदैनौ×2
कुनै दिन माया पलाउने चा....",23
17,Saunko Jhari Bani,Narayan Gopal,nepali,"साउनको झरी बनि, तिमी आऊ
न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
हो
बाफ़िएर आज हिमाल
किन रोएछ।
कता-कता मनभित्र, घाऊ
दुखेछ।
बिहानी भो किरण संगै
तिमी आऊ न।
छातीभित्र मुटु बोल्छ
तिमी आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।
हो
निसास्सिएको पारी
पाखा, कति धुमैलो।
डुब्दै जाने घामले हो
कि, डढेलो लागेको।
भन्ज्यांग अनि पाखा
भन्छ, तिमी आऊ न।
फूलहरु रोई भन्छ, तिमी
आऊ न।
मेरो मनको अन्धेरिमा
जुन छाऊ न।
साउनको झरी बनि।",66
18,Ma Chahi Nepali,Samriddhi Rai,nepali,"आज कति भागमा फुट्यौं हामी?
जातकै कुरामा अल्झी जानी-नजानी
जब संसार मिलिजुली एकै हुँदैछ
केटा कुन जातको मनपराईस्?
केटी कुन थरको तैले भगाईस्?
किन यहाँ सबैलाई राज्य चाहिएको छ?
को मतवाली, को बाहुन क्षेत्री?
के हामी एकै होइनौं र?
त्यसैले जातभात छुट्याउनेलाई
तिमी यही भन्ने गर
तिमी को हो थाहा भएन
म चाहिँ नेपाली
तिमी को हो थाहा भएन
म चाहिँ नेपाली
मानिस ठूलो जातले हुन्न यहाँ
दिल नै ठूलो सबै थोक भन्दा
मुना-मदन आए गए, कसैले केही बुझेन
सगरमाथा कसको भागमा पर्ला फेरि?
बुद्ध बाड्ने कसको जिम्मेवारी
नेपाल, हाम्रो प्यारो देशमा
हिंसा अब चाहिएन",84
19,Nepali,Albatross,nepali,"मान्छेको बोली बन्दुकको गोली
झुक्याएका छन् जथाभाबी बोली
सुनेर बसेकाछौँ नेपाली
बाजेले भन्थे कलियुग लागे
देउताले नि मन्दिर छोडी भागे
बुझेर बसेकाछौँ नेपाली
बुझेर बसेकाछौँ नेपाली
बस्दिन पापी यो शहरमा
बिरानो लोभी यो नगरमा
मान्छेको बोली बन्दुक को गोली
सजाय होला आज या भोलि
कुरेर बसेकाछौँ नेपाली
कसैले केहि गर्दिए नि हुन्थ्यो
कोही कहिँ जागे नि हुन्थ्यो
पर्खेर बसेकाछौँ नेपाली
पर्खेर बसेकाछौँ नेपाली
बस्दिन पापी यो शहरमा
बिरानो रोघी यो नगरमा
बस्दिन पापी यो शहरमा
मुक्ति देऊ मलाई",59
